modified_names,gbm39_cloneA_Score,gbm39_cloneA_pval,gbm45_cloneB_Score,gbm45_cloneB_pval,av
EWSR1/FLI1,0.781513470291384,4.0682039316443385e-10,1.0965407309886166,1.0,0.9390271006400003
SNAI2,0.8477393055129022,3.8074691519034365e-09,1.0278811728192043,1.0,0.9378102391660532
NFKB,0.9481144171269322,3.206641837503621e-05,0.9252164258694251,4.4920905138173387e-10,0.9366654214981787
ETS,0.9648468513249066,8.653646587860163e-08,0.903972085841243,2.4301714360557635e-56,0.9344094685830748
REL,1.011767340537941,1.0,0.8566268301830294,2.182447256385271e-19,0.9341970853604853
ZIC,0.9853834648347982,1.0,0.8793592695327385,1.4206557911840033e-84,0.9323713671837683
POU,1.0034279139998405,1.0,0.8471378951859394,7.005115701751395e-34,0.92528290459289
RFX,0.9927878257842502,1.0,0.8570061141892004,8.773231968296764e-94,0.9248969699867253
MZF1,1.0204870783739552,1.0,0.8266090415933427,1.0870421050351805e-52,0.923548059983649
ZSCAN,0.9769468728861667,1.0,0.8701235644264363,3.761249597707328e-23,0.9235352186563015
ZFN121,0.9887709598199819,1.0,0.8577615016669675,8.889865734955715e-18,0.9232662307434747
NR,0.9508624268965571,7.738394591845412e-47,0.8861135088384678,1.921870439131287e-257,0.9184879678675124
NFAT,0.9885517134355293,1.0,0.8423467522162454,1.734922126792896e-37,0.9154492328258874
RBPJ,1.0013538774064916,1.0,0.8260302011461078,1.1812240017431505e-51,0.9136920392762997
CTCF,0.9834137995511204,1.0,0.8430953782824211,4.8685144443281203e-119,0.9132545889167707
STAT,0.9665117965523051,0.38171412511107244,0.8582993752612159,5.3447426154347133e-36,0.9124055859067606
GLI,0.9412684492842345,1.4105226733972407e-05,0.8757865816833569,2.3974213708781285e-25,0.9085275154837957
BCL6,0.943013710072262,0.40535424445560614,0.8704932872215884,2.637608034693879e-09,0.9067534986469252
TFCP2,0.993688523102345,1.0,0.8153277593674103,3.297193453504268e-30,0.9045081412348777
THAP1,0.9585220045462184,1.0,0.8446224147789911,4.345512765459433e-19,0.9015722096626048
AIRE,0.9572119144855449,1.0,0.8357602701406651,0.02864277073543057,0.896486092313105
CREB/ATF,0.9061081032749829,1.2268466109078272e-18,0.8829592628573334,9.01703536321567e-17,0.8945336830661581
E2F,0.9416326220427287,6.061483745785805e-21,0.8415823590403754,1.5431101830877918e-139,0.8916074905415521
KLF/SP,0.9438972919925805,1.734126224173649e-120,0.8362888472886104,0.0,0.8900930696405955
CCAAT/CEBP,0.9048188064106759,7.469812380637868e-05,0.8745485664210595,3.428214994250242e-07,0.8896836864158677
GMEB2,0.9305860254701663,0.8049387708712691,0.8480399282690044,0.00018683949768295177,0.8893129768695853
PAX,0.9466210902054073,4.12158008145055e-07,0.8301604006706268,1.893861192644908e-71,0.8883907454380171
GC-tract,0.9335384114919157,1.9921689385118527e-114,0.841459384440445,0.0,0.8874988979661804
HINFP1,0.8988491001113638,1.0248763696579922e-05,0.8734035187268683,3.308955261324766e-05,0.8861263094191161
CREB3/XBP1,0.9755551395506543,1.0,0.7962303539209968,1.0998146449353732e-22,0.8858927467358255
TFAP2,0.9093337243853704,8.758539272865806e-46,0.8606812863319699,5.289536735332588e-100,0.8850075053586701
MECP2,0.926907863433235,0.009152503495581325,0.8409619732591761,1.1028200218368892e-12,0.8839349183462055
SMARCA,0.9483309829950846,0.017418080608050487,0.8192443231036959,1.888557004184222e-49,0.8837876530493902
SREBF1,0.9295908658195929,1.5342321489158938e-09,0.8358063612864235,1.2080618710356247e-50,0.8826986135530082
PLAG1,0.9161841577361073,1.071762252405083e-06,0.8413850859053499,1.0837470304714397e-25,0.8787846218207286
KAISO,1.0202181723627677,1.0,0.7352744603781792,7.463275953187447e-18,0.8777463163704735
EGR,0.9159040382016629,1.0333867966033856e-15,0.8311119759434733,8.059087787516932e-49,0.873508007072568
GFI,0.8362666337402751,1.977980222899538e-15,0.9080161103901058,0.0015645051878159573,0.8721413720651905
P53-like,0.8985167858584643,2.280085958067214e-12,0.826354021769109,2.3695995329330727e-40,0.8624354038137867
CUX,0.9438357589910915,1.0,0.7552051145924408,2.8134409179931885e-24,0.8495204367917661
EBF1,0.9107498995789338,1.6068477121705176e-08,0.7850525064849528,2.0373179599027607e-62,0.8479012030319433
ZFX,0.8544495997214724,4.231500513198374e-89,0.8340710781774497,7.582565036903912e-97,0.8442603389494611
HSF,0.9068278263154437,0.009463708932262435,0.7617191027755533,2.3497966150357566e-24,0.8342734645454986
RUNX,0.7564141327041644,6.195763969642883e-120,0.908998697211151,3.4959444228345685e-10,0.8327064149576577
MBD2,0.8250664613211562,9.46284298842582e-30,0.78104805126996,2.1930187382160425e-34,0.8030572562955581
TEAD,0.722638095427665,3.7557110561968585e-97,0.7896368255343741,2.358104174804279e-39,0.7561374604810196
ARI5A,0.6493956551801154,5.195514029191521e-05,0.6239857068413608,3.949732801132026e-06,0.6366906810107381
