modified_names,gbm39_cloneB_Score,gbm39_cloneB_pval,gbm45_cloneA_Score,gbm45_cloneA_pval,av
RFX,1.0072645675424683,1.0,1.1668528187177332,8.773231968296764e-94,1.0870586931301007
ZSCAN,1.0235971143914184,1.0,1.1492620598767198,3.761249597707328e-23,1.0864295871340692
REL,0.9883695192892029,1.0,1.1673694597988917,2.182447256385271e-19,1.0778694895440473
SNAI2,1.1796079213231436,3.8074691519034365e-09,0.9728751011727029,1.0,1.0762415112479233
ZIC,1.014833347307743,1.0,1.1371916287769002,1.4206557911840033e-84,1.0760124880423216
MFZ1,0.9624464109298859,1.0,1.1842634156477376,7.615036703258878e-15,1.0733549132888118
ETS,1.0364339155243363,8.653646587860163e-08,1.106228848946583,2.4301714360557635e-56,1.0713313822354595
NFKB,1.0547250225666818,3.206641837503621e-05,1.0808281954790209,4.4920905138173387e-10,1.0677766090228513
NFY,0.9416671194727262,0.2577852700559564,1.1936273767191017,2.4234936018445186e-20,1.067647248095914
ARI5B,0.8587297127242867,0.25119225999721395,1.275954654812482,1.5641042962986435e-05,1.0673421837683843
SPI,0.9933117646732255,1.0,1.1411463623286147,1.21548290185676e-18,1.06722906350092
AHR,0.9917757010118042,1.0,1.1401056488428551,0.04086470814291334,1.0659406749273297
HD,0.9722005415720869,1.3903815106598446e-05,1.1572592673404438,1.299610326491021e-171,1.0647299044562653
SPDEF,0.9641519835365185,1.0,1.1650384393388222,1.963987342015649e-06,1.0645952114376704
ZKSCAN1,0.9538009178647022,1.0,1.1751428583638217,1.1221092699634004e-08,1.0644718881142619
BATF,0.994300280609783,1.0,1.1342303240537062,0.00015696467030326582,1.0642653023317445
HIC,0.9742319644624879,1.0,1.153206569835431,1.7708804484640772e-40,1.0637192671489595
AP1,1.0295166796285098,0.0015619240226908762,1.0956227580825988,2.395024342499426e-15,1.0625697188555543
Ebox/CACGTG,1.0238163720162692,0.13779196620670522,1.094257620595977,1.0761251786489824e-30,1.0590369963061232
NRF1,1.064342458836636,5.3746667496027156e-06,1.040608005185769,0.6178857441867789,1.0524752320112025
MTF1,0.9843900418375379,1.0,1.1200918465257963,0.00604875274504322,1.0522409441816671
INSM1,1.0022341084314057,1.0,1.1020175263464502,3.408836676893987e-08,1.0521258173889279
GLIS,0.9792712355144524,1.0,1.112079553532675,2.2600005501603925e-06,1.0456753945235637
GRHL,0.8977823480705036,0.0001959191731033474,1.1926161116496108,8.633455191721369e-16,1.0451992298600572
PRDM,0.9895235169391963,1.0,1.0886477760836755,2.2146354533888395e-26,1.039085646511436
TBX,0.9788108665298315,0.9920015881174978,1.0984417143249343,1.2868613468410331e-27,1.0386262904273829
REST/NRSF,0.9466216302578401,0.06292577579928522,1.1186325301698041,2.148961688947081e-10,1.032627080213822
YY1,0.9621453846939906,1.0,1.1027538085111392,8.286729382693162e-06,1.0324495966025649
ZBTB,0.9965882189333662,1.0,1.0667373384103405,6.495355901481745e-09,1.0316627786718533
FOX,0.9502266207708961,5.1123428246479927e-11,1.1121848236788032,1.476625742781762e-50,1.0312057222248496
